Unnamed: 0,surfactant_1,surfactant_2,surfactant_1_ratio,surfactant_2_ratio,done,pairing,row_id,trial
3,CAPB,CHAPS,0.8,0.2,False,"('CAPB', 'CHAPS')",0,1
4,CAPB,CHAPS,0.95,0.05,False,"('CAPB', 'CHAPS')",1,1
5,CTAB,CAPB,0.05,0.95,False,"('CAPB', 'CTAB')",2,1
7,CTAB,CAPB,0.5,0.5,False,"('CAPB', 'CTAB')",3,1
8,CTAB,CAPB,0.8,0.2,False,"('CAPB', 'CTAB')",4,1
10,CTAB,CHAPS,0.05,0.95,False,"('CHAPS', 'CTAB')",5,1
12,CTAB,CHAPS,0.5,0.5,False,"('CHAPS', 'CTAB')",6,1
13,CTAB,CHAPS,0.8,0.2,False,"('CHAPS', 'CTAB')",7,1
14,CTAB,CHAPS,0.95,0.05,False,"('CHAPS', 'CTAB')",8,2
15,CTAB,DTAB,0.05,0.95,False,"('CTAB', 'DTAB')",9,2
16,CTAB,DTAB,0.2,0.8,False,"('CTAB', 'DTAB')",10,2
19,CTAB,DTAB,0.95,0.05,False,"('CTAB', 'DTAB')",11,2
20,CTAB,TTAB,0.05,0.95,False,"('CTAB', 'TTAB')",12,3
22,CTAB,TTAB,0.5,0.5,False,"('CTAB', 'TTAB')",13,3
26,DTAB,CAPB,0.2,0.8,False,"('CAPB', 'DTAB')",14,3
28,DTAB,CAPB,0.8,0.2,False,"('CAPB', 'DTAB')",15,3
29,DTAB,CAPB,0.95,0.05,False,"('CAPB', 'DTAB')",16,3
31,DTAB,CHAPS,0.2,0.8,False,"('CHAPS', 'DTAB')",17,2
32,DTAB,CHAPS,0.5,0.5,False,"('CHAPS', 'DTAB')",18,2
33,DTAB,CHAPS,0.8,0.2,False,"('CHAPS', 'DTAB')",19,2
34,DTAB,CHAPS,0.95,0.05,False,"('CHAPS', 'DTAB')",20,2
35,DTAB,TTAB,0.05,0.95,False,"('DTAB', 'TTAB')",21,3
36,DTAB,TTAB,0.2,0.8,False,"('DTAB', 'TTAB')",22,3
40,NaC,CAPB,0.05,0.95,False,"('CAPB', 'NaC')",23,4
41,NaC,CAPB,0.2,0.8,False,"('CAPB', 'NaC')",24,4
42,NaC,CAPB,0.5,0.5,False,"('CAPB', 'NaC')",25,4
43,NaC,CAPB,0.8,0.2,False,"('CAPB', 'NaC')",26,4
44,NaC,CAPB,0.95,0.05,False,"('CAPB', 'NaC')",27,4
45,NaC,CHAPS,0.05,0.95,False,"('CHAPS', 'NaC')",28,4
46,NaC,CHAPS,0.2,0.8,False,"('CHAPS', 'NaC')",29,4
47,NaC,CHAPS,0.5,0.5,False,"('CHAPS', 'NaC')",30,4
48,NaC,CHAPS,0.8,0.2,False,"('CHAPS', 'NaC')",31,5
49,NaC,CHAPS,0.95,0.05,False,"('CHAPS', 'NaC')",32,5
50,NaDC,CAPB,0.05,0.95,False,"('CAPB', 'NaDC')",33,6
51,NaDC,CAPB,0.2,0.8,False,"('CAPB', 'NaDC')",34,6
52,NaDC,CAPB,0.5,0.5,False,"('CAPB', 'NaDC')",35,6
54,NaDC,CAPB,0.95,0.05,False,"('CAPB', 'NaDC')",36,6
55,NaDC,CHAPS,0.05,0.95,False,"('CHAPS', 'NaDC')",37,5
56,NaDC,CHAPS,0.2,0.8,False,"('CHAPS', 'NaDC')",38,5
57,NaDC,CHAPS,0.5,0.5,False,"('CHAPS', 'NaDC')",39,5
59,NaDC,CHAPS,0.95,0.05,False,"('CHAPS', 'NaDC')",40,5
63,NaDC,NaC,0.8,0.2,False,"('NaC', 'NaDC')",41,5
64,NaDC,NaC,0.95,0.05,False,"('NaC', 'NaDC')",42,5
65,SDS,CAPB,0.05,0.95,False,"('CAPB', 'SDS')",43,6
66,SDS,CAPB,0.2,0.8,False,"('CAPB', 'SDS')",44,6
67,SDS,CAPB,0.5,0.5,False,"('CAPB', 'SDS')",45,6
68,SDS,CAPB,0.8,0.2,False,"('CAPB', 'SDS')",46,6
69,SDS,CAPB,0.95,0.05,False,"('CAPB', 'SDS')",47,7
70,SDS,CHAPS,0.05,0.95,False,"('CHAPS', 'SDS')",48,7
71,SDS,CHAPS,0.2,0.8,False,"('CHAPS', 'SDS')",49,7
72,SDS,CHAPS,0.5,0.5,False,"('CHAPS', 'SDS')",50,7
73,SDS,CHAPS,0.8,0.2,False,"('CHAPS', 'SDS')",51,7
74,SDS,CHAPS,0.95,0.05,False,"('CHAPS', 'SDS')",52,7
80,SDS,NaDC,0.05,0.95,False,"('NaDC', 'SDS')",53,7
82,SDS,NaDC,0.5,0.5,False,"('NaDC', 'SDS')",54,7
85,TTAB,CAPB,0.05,0.95,False,"('CAPB', 'TTAB')",55,3
86,TTAB,CAPB,0.2,0.8,False,"('CAPB', 'TTAB')",56,8
87,TTAB,CAPB,0.5,0.5,False,"('CAPB', 'TTAB')",57,8
88,TTAB,CAPB,0.8,0.2,False,"('CAPB', 'TTAB')",58,8
89,TTAB,CAPB,0.95,0.05,False,"('CAPB', 'TTAB')",59,8
91,TTAB,CHAPS,0.2,0.8,False,"('CHAPS', 'TTAB')",60,8
92,TTAB,CHAPS,0.5,0.5,False,"('CHAPS', 'TTAB')",61,8
94,TTAB,CHAPS,0.95,0.05,False,"('CHAPS', 'TTAB')",62,8
