volume_mL,replicate,method,measured_mass_mg
0.005,1,A,0.003400000000000958
0.005,2,A,0.0038999999999997925
0.005,3,A,0.0036000000000004917
0.005,4,A,0.0035000000000007248
0.005,5,A,0.0036000000000004917
0.01,1,A,0.008300000000000196
0.01,2,A,0.005899999999998684
0.01,3,A,0.00849999999999973
0.01,4,A,0.00849999999999973
0.01,5,A,0.008100000000000662
0.02,1,A,0.01810000000000045
0.02,2,A,0.018500000000001293
0.02,3,A,0.01789999999999914
0.02,4,A,0.018000000000000682
0.02,5,A,0.01890000000000036
0.03,1,A,0.028600000000000847
0.03,2,A,0.027699999999999392
0.03,3,A,0.027800000000000935
0.03,4,A,0.026099999999999568
0.03,5,A,0.02740000000000009
0.05,1,A,0.04780000000000051
0.05,2,A,0.04750000000000121
0.05,3,A,0.0472999999999999
0.05,4,A,0.047399999999999665
0.05,5,A,0.0475999999999992
0.005,1,A,-0.001300000000000523
0.005,2,A,-0.001300000000000523
0.005,3,A,-0.00039999999999906777
0.005,4,A,-0.001100000000000989
0.005,5,A,-0.0017999999999993577
0.01,1,A,0.0052000000000003155
0.01,2,A,0.0
0.01,3,A,0.0
0.01,4,A,0.0045000000000001705
0.01,5,A,0.0
0.02,1,A,0.01580000000000048
0.02,2,A,0.01559999999999917
0.02,3,A,0.01609999999999978
0.02,4,A,0.015399999999999636
0.02,5,A,0.015100000000000335
0.03,1,A,0.025399999999999423
0.03,2,A,0.02519999999999989
0.03,3,A,0.025000000000000355
0.03,4,A,0.025300000000001432
0.03,5,A,0.025000000000000355
0.05,1,A,0.04420000000000002
0.05,2,A,0.04499999999999993
0.05,3,A,0.04510000000000147
0.05,4,A,0.045099999999999696
0.05,5,A,0.04449999999999932
