vial_name,surfactant,target_concentration_mm,needed_for_concentrations,source_vial,source_concentration_mm,source_volume_ml,water_volume_ml,final_volume_ml,dilution_factor
SDS_dilution_0,SDS,5.0,1.03e+00,SDS_stock,50.0,0.6,5.4,6.0,10.0
SDS_dilution_1,SDS,0.7000000000000001,4.74e-02,SDS_dilution_0,5.0,0.8400000000000001,5.16,6.0,7.142857142857142
SDS_dilution_2,SDS,0.15000000000000002,,SDS_dilution_1,0.7000000000000001,1.2857142857142858,4.714285714285714,6.0,4.666666666666666
SDS_dilution_3,SDS,0.02,2.18e-03,SDS_dilution_2,0.15000000000000002,0.7999999999999999,5.2,6.0,7.500000000000001
SDS_dilution_4,SDS,0.003,,SDS_dilution_3,0.02,0.8999999999999999,5.1,6.0,6.666666666666667
SDS_dilution_5,SDS,0.0005,1.00e-04,SDS_dilution_4,0.003,1.0,5.0,6.0,6.0
TTAB_dilution_0,TTAB,5.0,1.03e+00,TTAB_stock,50.0,0.6,5.4,6.0,10.0
TTAB_dilution_1,TTAB,0.7000000000000001,4.74e-02,TTAB_dilution_0,5.0,0.8400000000000001,5.16,6.0,7.142857142857142
TTAB_dilution_2,TTAB,0.15000000000000002,,TTAB_dilution_1,0.7000000000000001,1.2857142857142858,4.714285714285714,6.0,4.666666666666666
TTAB_dilution_3,TTAB,0.02,2.18e-03,TTAB_dilution_2,0.15000000000000002,0.7999999999999999,5.2,6.0,7.500000000000001
TTAB_dilution_4,TTAB,0.003,,TTAB_dilution_3,0.02,0.8999999999999999,5.1,6.0,6.666666666666667
TTAB_dilution_5,TTAB,0.0005,1.00e-04,TTAB_dilution_4,0.003,1.0,5.0,6.0,6.0
