,rep1_CMC_Absorbance_96
,600
A1,0.0433
A2,0.0379
A3,0.0427
A4,0.0395
A5,0.0394
A6,0.0385
A7,0.041
A8,0.0381
A9,0.0734
A10,0.0382
A11,0.0387
A12,0.0387
B1,0.0386
B2,0.039
B3,0.0384
B4,0.0388
B5,0.0384
B6,0.0386
B7,0.0383
B8,0.0383
B9,0.0387
B10,0.0376
B11,0.0382
B12,0.0383
C1,0.0388
C2,0.0407
C3,0.0383
C4,0.0384
C5,0.0386
C6,0.0387
C7,0.0372
C8,0.0379
C9,0.0376
C10,0.0424
C11,0.0413
C12,0.0401
D1,0.0397
D2,0.0383
D3,0.038
D4,0.0382
D5,0.038
D6,0.038
D7,0.0408
D8,0.0587
D9,0.0466
D10,0.0401
D11,0.0383
D12,0.0396
E1,0.0392
E2,0.038
E3,0.0382
E4,0.039
E5,0.0582
E6,0.0771
E7,0.0691
E8,0.0502
E9,0.0378
E10,0.0374
E11,0.038
E12,0.0385
F1,0.0387
F2,0.0415
F3,0.101
F4,0.2196
F5,0.1967
F6,0.0389
F7,0.0383
F8,0.038
F9,0.0386
F10,0.0384
F11,0.0387
F12,0.0532
G1,0.2075
G2,1.5217
G3,1.7652
G4,0.038
G5,0.0383
G6,0.0394
G7,0.0381
G8,0.0385
G9,0.0387
G10,0.0615
G11,1.6234
G12,2.8378
H1,0.0385
H2,0.0384
H3,0.0378
H4,0.0466
H5,0.047
H6,0.0472
H7,0.0472
H8,0.0468
H9,0.0474
H10,0.0471
H11,0.0471
H12,0.0472
